, 4380.0 <= x < 4410.0; y_146= 1828.0 + -0.4x; interpolation
, 4410.0 <= x < 4440.0; y_147= -508.0 + 0.1333x; interpolation
, 4440.0 <= x < 4470.0; y_148= -508.0 + 0.1333x; interpolation
, 4470.0 <= x < 4500.0; y_149= 2008.0 + -0.4333x; interpolation
, 4500.0 <= x < 4530.0; y_150= -227.0 + 0.0667x; interpolation
, 4530.0 <= x < 4560.0; y_151= -677.0 + 0.1667x; interpolation
, 4560.0 <= x < 4590.0; y_152= -677.0 + 0.1667x; interpolation
, 4590.0 <= x < 4620.0; y_153= -829.0 + 0.2x; interpolation
, 4620.0 <= x < 4650.0; y_154= 2231.0 + -0.4667x; interpolation
, 4650.0 <= x < 4680.0; y_155= 999.0 + -0.2x; interpolation
, 4680.0 <= x < 4710.0; y_156= -396.0 + 0.1x; interpolation
, 4710.0 <= x < 4740.0; y_157= 852.0 + -0.1667x; interpolation
, 4740.0 <= x < 4770.0; y_158= -1189.0 + 0.2667x; interpolation
, 4770.0 <= x < 4800.0; y_159= -1979.0 + 0.4333x; interpolation
, 4800.0 <= x < 4830.0; y_160= 1201.0 + -0.2333x; interpolation
, 4830.0 <= x < 4860.0; y_161= 1521.0 + -0.3x; interpolation
, 4860.0 <= x < 4890.0; y_162= -411.0 + 0.1x; interpolation
, 4890.0 <= x < 4920.0; y_163= -1869.0 + 0.4x; interpolation
, 4920.0 <= x < 4950.0; y_164= 1391.0 + -0.2667x; interpolation
, 4950.0 <= x < 4980.0; y_165= 1227.0 + -0.2333x; interpolation
, 4980.0 <= x < 5010.0; y_166= -1083.0 + 0.2333x; interpolation
, 5010.0 <= x < 5040.0; y_167= -917.0 + 0.2x; interpolation
, 5040.0 <= x < 5070.0; y_168= 1755.0 + -0.3333x; interpolation
, 5070.0 <= x < 5100.0; y_169= 579.0 + -0.1x; interpolation
, 5100.0 <= x < 5130.0; y_170= -3139.0 + 0.6333x; interpolation
, 5130.0 <= x < 5160.0; y_171= 771.0 + -0.1333x; interpolation
, 5160.0 <= x < 5190.0; y_172= 2994.0 + -0.5667x; interpolation
, 5190.0 <= x < 5220.0; y_173= -102.0 + 0.0333x; interpolation
, 5220.0 <= x < 5250.0; y_174= -3043.0 + 0.6x; interpolation
, 5250.0 <= x < 5280.0; y_175= 959.0 + -0.1667x; interpolation
, 5280.0 <= x < 5310.0; y_176= 2709.0 + -0.5x; interpolation
, 5310.0 <= x < 5340.0; y_177= -459.0 + 0.1x; interpolation
, 5340.0 <= x < 5370.0; y_178= -3114.0 + 0.6x; interpolation
, 5370.0 <= x < 5400.0; y_179= 1336.0 + -0.2333x; interpolation
, 5400.0 <= x < 5430.0; y_180= 2231.0 + -0.4x; interpolation
, 5430.0 <= x < 5460.0; y_181= -109.0 + 0.0333x; interpolation
, 5460.0 <= x < 5490.0; y_182= -2824.0 + 0.5333x; interpolation
, 5490.0 <= x < 5520.0; y_183= 452.0 + -0.0667x; interpolation
, 5520.0 <= x < 5550.0; y_184= 2831.0 + -0.5x; interpolation
, 5550.0 <= x < 5580.0; y_185= 71.0 + 0.0x; interpolation
, 5580.0 <= x < 5610.0; y_186= -3259.0 + 0.6x; interpolation
, 5610.0 <= x < 5640.0; y_187= 1391.0 + -0.2333x; interpolation
, 5640.0 <= x < 5670.0; y_188= 2513.0 + -0.4333x; interpolation
, 5670.0 <= x < 5700.0; y_189= -307.0 + 0.0667x; interpolation
, 5700.0 <= x < 5730.0; y_190= -2953.0 + 0.5333x; interpolation
, 5730.0 <= x < 5760.0; y_191= -103.0 + 0.0333x; interpolation
, 5760.0 <= x < 5790.0; y_192= 88.0 + 0.0x; interpolation
, 5790.0 <= x < 5820.0; y_193= 3736.0 + -0.6333x; interpolation
, 5820.0 <= x < 5850.0; y_194= -3598.0 + 0.6333x; interpolation
, 5850.0 <= x < 5880.0; y_195= 3386.0 + -0.5667x; interpolation
, 5880.0 <= x < 5910.0; y_196= -3244.0 + 0.5667x; interpolation
, 5910.0 <= x < 5940.0; y_197= 872.0 + -0.1333x; interpolation
, 5940.0 <= x < 5970.0; y_198= 3039.0 + -0.5x; interpolation
, 5970.0 <= x < 6000.0; y_199= -525.0 + 0.1x; interpolation
, 6000.0 <= x < 6030.0; y_200= -2515.0 + 0.4333x; interpolation
, 6030.0 <= x < 6060.0; y_201= 2685.0 + -0.4333x; interpolation
, 6060.0 <= x < 6090.0; y_202= -3144.0 + 0.5333x; interpolation
, 6090.0 <= x < 6120.0; y_203= 694.0 + -0.1x; interpolation
, 6120.0 <= x < 6150.0; y_204= -118.0 + 0.0333x; interpolation
